Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
90	10	0	2.25	359.113576	347.203076	334.472991	359.113576	24.6405857	4.52255121	0	18.3	0	0	3
91	10	0	2.275	360.289983	348.432457	335.985984	360.289983	24.3039986	4.57528419	0	18.8	0	0	3
92	10	0	2.3	361.310965	349.638408	337.385623	361.310965	23.9253421	4.62585119	0	19.3	0	0	3
93	10	0	2.325	362.497384	350.834206	338.526465	362.497384	23.9709188	4.67472475	0	19.5	0	0	3
94	10	0	2.35	363.530677	352.024883	339.752267	363.530677	23.7784103	4.72183266	0	19.8	0	0	3
95	11	0	2.375	364.627075	353.209398	341.083957	364.627075	23.5431184	4.76735843	0	20.2	0	0	3
96	11	0	2.4	365.623965	354.37797	342.35346	365.623965	23.270505	4.8108521	0	20.6	0	0	3
97	11	0	2.425	366.697307	355.537201	343.657272	366.697307	23.0400344	4.85269992	0	21	0	0	3
98	11	0	2.45	367.725085	356.683287	344.866189	367.725085	22.8588961	4.89247399	0	21.4	0	0	3
99	11	0	2.475	368.672111	357.816902	346.145512	368.672111	22.5265994	4.93016264	0	21.8	0	0	3
100	11	0	2.5	369.746995	358.940782	347.340169	369.746995	22.4068263	4.96566871	0	22.1	0	0	3
101	11	0	2.525	370.705135	360.0534	348.69357	370.705135	22.0115653	4.99838086	0	22.7	0	0	3
102	11	0	2.55	371.66525	361.147289	349.812575	371.66525	21.8526751	5.02843817	0	23	0	0	3
103	12	0	2.575	372.731486	362.238666	351.086124	372.731486	21.6453616	5.05594982	0	23.3	0	0	3
104	12	0	2.6	373.706057	363.315806	352.24868	373.706057	21.4573763	5.08068253	0	23.6	0	0	3
105	12	0	2.625	374.730673	364.386377	353.406194	374.730673	21.3244788	5.1023718	0	23.9	0	0	3
106	12	0	2.65	375.667203	365.446425	354.652591	375.667203	21.0146125	5.12135469	0	24.3	0	0	3
107	12	0	2.675	376.721138	366.497308	355.735978	376.721138	20.9851599	5.13819935	0	24.4	0	0	3
108	12	0	2.7	377.741909	367.545209	356.917489	377.741909	20.8244197	5.15286865	0	24.7	0	0	3
109	12	0	2.725	378.690657	368.582027	358.027936	378.690657	20.6627206	5.1662092	0	25	0	0	3
110	12	0	2.75	379.650837	369.611689	359.113576	379.650837	20.5372609	5.17833448	0	25.2	0	0	3
111	12	0	2.775	380.719457	370.64054	360.289983	380.719457	20.4294745	5.1892849	0	25.4	0	0	3
112	12	0	2.8	381.733427	371.661657	361.310965	381.733427	20.4224619	5.19921798	0	25.4	0	0	3
113	13	0	2.825	382.641436	372.677394	362.497384	382.641436	20.1440528	5.20845428	0	25.8	0	0	3
114	13	0	2.85	383.625207	373.68348	363.530677	383.625207	20.0945294	5.21700548	0	25.9	0	0	3
115	13	0	2.875	384.641822	374.688773	364.627075	384.641822	20.0147469	5.22476933	0	26.1	0	0	3
116	13	0	2.9	385.33756	375.674987	365.623965	385.33756	19.7135953	5.23132372	0	26.5	0	0	3
117	13	0	2.925	386.335357	376.661243	366.697307	386.335357	19.6380505	5.23717874	0	26.6	0	0	3
118	13	0	2.95	387.178567	377.636541	367.725085	387.178567	19.4534825	5.2422594	0	26.9	0	0	3
119	13	0	2.975	387.831559	378.593993	368.672111	387.831559	19.1594475	5.24615586	0	27.3	0	0	3
120	13	0	3	388.627569	379.544252	369.746995	388.627569	18.8805736	5.24929147	0	27.8	0	0	3
121	13	0	3.025	389.433301	380.481696	370.705135	389.433301	18.7281655	5.25144945	0	28	0	0	3
122	14	0	3.05	390.025153	381.401696	371.66525	390.025153	18.3599026	5.25269888	0	28.6	0	0	3
123	14	0	3.075	390.680674	382.307193	372.731486	390.680674	17.9491881	5.25292682	0	29.2	0	0	3
124	14	0	3.1	391.314249	383.192086	373.706057	391.314249	17.6081924	5.25231091	0	29.8	0	0	3
125	14	0	3.125	391.762579	384.051921	374.730673	391.762579	17.0319061	5.25059865	0	30.8	0	0	3
126	14	0	3.15	392.217216	384.884613	375.667203	392.217216	16.5500131	5.24770046	0	31.7	0	0	3
127	14	0	3.175	392.428935	385.682791	376.721138	392.428935	15.7077967	5.24353494	0	33.3	0	0	3
128	14	0	3.2	392.351034	386.427072	377.741909	392.428935	14.6870257	5.23767652	0	35.6	0	0	3
129	14	0	3.225	392.610165	387.135084	378.690657	392.610165	13.9195081	5.23055968	0	37.5	0	0	3
130	14	0	3.25	392.651231	387.799873	379.650837	392.651231	13.000394	5.22205572	0	40.1	0	0	3
131	15	0	3.275	392.740753	388.423202	380.719457	392.740753	12.0212959	5.21214847	0	43.3	0	0	3
132	15	0	3.3	393.195943	389.017321	381.733427	393.195943	11.462516	5.20163779	0	45.3	0	0	3
133	15	0	3.325	393.492878	389.577295	382.641436	393.492878	10.8514421	5.19007975	0	47.8	0	0	3
134	15	0	3.35	393.88713	390.112804	383.625207	393.88713	10.2619234	5.1778625	0	50.4	0	0	3
135	15	0	3.375	394.344057	390.623225	384.641822	394.344057	9.70223527	5.16500625	0	53.2	0	0	3
136	15	0	3.4	394.867908	391.110182	385.33756	394.867908	9.53034829	5.1517618	0	54	0	0	3
137	15	0	3.425	395.510281	391.594597	386.335357	395.510281	9.17492365	5.13819888	0	56	0	0	3
138	15	0	3.45	396.238805	392.06619	387.178567	396.238805	9.06023815	5.12450621	0	56.5	0	0	3
139	15	0	3.475	397.129381	392.540038	387.831559	397.129381	9.2978223	5.11101424	0	54.9	0	0	3
140	16	0	3.5	398.12198	393.030058	388.627569	398.12198	9.49441111	5.09768255	0	53.6	0	0	3
141	16	0	3.525	399.217238	393.534328	389.433301	399.217238	9.78393706	5.08479561	0	51.9	0	0	3
142	16	0	3.55	400.36592	394.054929	390.025153	400.36592	10.3407672	5.07240748	0	49	0	0	3
143	16	0	3.575	401.624652	394.607286	390.680674	401.624652	10.9439781	5.06050873	0	46.2	0	0	3
144	16	0	3.6	402.953457	395.191704	391.314249	402.953457	11.6392076	5.04929229	0	43.3	0	0	3
145	16	0	3.625	404.304828	395.810303	391.762579	404.304828	11.7583827	5.03870382	0	42.8	0	0	3
146	16	0	3.65	405.646388	396.471437	392.217216	405.646388	11.5868239	5.02882387	0	43.4	0	0	3
147	16	0	3.675	407.014057	397.176049	392.351034	407.014057	11.4932577	5.01951896	0	43.6	0	0	3
148	16	0	3.7	408.351368	397.93426	392.351034	408.351368	11.507188	5.0107766	0	43.5	0	0	3
149	17	0	3.725	409.611469	398.756185	392.610165	409.611469	11.6211013	5.00257495	0	43	0	0	3
150	17	0	3.75	410.817514	399.623202	392.651231	410.817514	11.8233287	4.99482001	0	42.2	0	0	3
151	17	0	3.775	411.992854	400.544231	392.740753	411.992854	12.121029	4.9873328	0	41.1	0	0	3
152	17	0	3.8	413.111126	401.514249	393.195943	413.111126	12.4969284	4.98010328	0	39.8	0	0	3
153	17	0	3.825	414.164044	402.51273	393.492878	414.164044	12.9354355	4.97317246	0	38.4	0	0	3
154	17	0	3.85	415.140559	403.543572	393.88713	415.140559	13.4307683	4.96635475	0	36.9	0	0	3
155	17	0	3.875	416.037186	404.598337	394.344057	416.037186	13.9751114	4.9595167	0	35.4	0	0	3
156	17	0	3.9	416.89691	405.672282	394.867908	416.89691	14.5621003	4.95298476	0	34	0	0	3
157	17	0	3.925	417.7069	406.759853	395.510281	417.7069	15.165256	4.94635077	0	32.6	0	0	3
158	18	0	3.95	418.453945	407.852409	396.238805	418.453945	15.7862187	4.93972071	0	31.2	0	0	3
159	18	0	3.975	419.157034	408.943753	397.129381	419.157034	16.4037147	4.93325813	0	30	0	0	3
160	18	0	4	419.796101	410.02312	398.12198	419.796101	16.9930622	4.92672913	0	28.9	0	0	3
