Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
117	13	0	2.925	114862.711	114688.837	112949.902	116363.143	751.962415	5882.81635	0	100	0	0	3
118	13	0	2.95	115475.596	114722.347	112949.902	116363.143	617.514766	5882.81635	0	100	0	0	3
119	13	0	2.975	112774.919	114599.015	112774.919	116363.143	576.747555	5882.81635	0	100	0	0	3
120	13	0	3	113885.943	114609.85	112774.919	116363.143	534.130786	5882.81635	0	100	0	0	3
121	13	0	3.025	114888.573	114593.968	112774.919	116363.143	539.177468	5882.81635	0	100	0	0	3
122	14	0	3.05	113139.521	114493.892	112774.919	116363.143	500.744451	5882.81635	0	100	0	0	3
123	14	0	3.075	113967.311	114499.897	112774.919	116363.143	492.147509	5882.81635	0	100	0	0	3
124	14	0	3.1	114934.422	114512.126	112774.919	116363.143	421.727999	5882.81635	0	100	0	0	3
125	14	0	3.125	112825.368	114423.177	112774.919	116363.143	479.43729	5882.81635	0	100	0	0	3
126	14	0	3.15	113513.456	114349.764	112774.919	116363.143	452.916894	5882.81635	0	100	0	0	3
127	14	0	3.175	113402.194	114321.81	112774.919	116363.143	463.730605	5882.81635	0	100	0	0	3
128	14	0	3.2	113521.637	114247.769	112774.919	116363.143	537.771566	5882.81635	0	100	0	0	3
129	14	0	3.225	114558.101	114216.334	112774.919	116363.143	555.104051	5882.81635	0	100	0	0	3
130	14	0	3.25	113788.962	114153.267	112774.919	116363.143	587.732801	5882.81635	0	100	0	0	3
131	15	0	3.275	113876.47	114190.088	112774.919	116363.143	587.732801	5882.81635	0	100	0	0	3
132	15	0	3.3	115298.758	114206.09	112774.919	116363.143	587.732801	5882.81635	0	100	0	0	3
133	15	0	3.325	115030.83	114156.278	112774.919	116363.143	580.967562	5882.81635	0	100	0	0	3
134	15	0	3.35	114900.621	114222.561	112774.919	116363.143	580.967562	5882.81635	0	100	0	0	3
135	15	0	3.375	114523.587	114213.43	112774.919	116363.143	580.967562	5882.81635	0	100	0	0	3
136	15	0	3.4	113815.606	114092.118	112774.919	115475.596	630.228324	5882.81635	0	100	0	0	3
137	15	0	3.425	113143.318	114101.329	112774.919	115475.596	630.228324	5882.81635	0	100	0	0	3
