Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
67	8	0	1.675	0.000144351308	5.60835862e-05	-0.000411063039	0.000192112257	0.000603175296	0.00155528869	0	100	0	0	3
68	8	0	1.7	1.16355475e-05	7.62120904e-05	-0.000277812683	0.000192112257	0.000469924941	0.00155528869	0	100	0	0	3
69	8	0	1.725	0.000111122351	9.47328063e-05	-0.000198699348	0.000192112257	0.000390811606	0.00155528869	0	100	0	0	3
70	8	0	1.75	0.000124337652	0.000110115521	-0.000115013329	0.000192112257	0.000307125586	0.00155528869	0	100	0	0	3
71	8	0	1.775	0.000134312232	0.000121988166	-3.95531807e-05	0.000192112257	0.000231665438	0.00155528869	0	100	0	0	3
72	8	0	1.8	-2.73229052e-05	0.00012257056	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
73	8	0	1.825	0.000102981892	0.000125463657	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
74	8	0	1.85	0.000115795271	0.000128623357	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
75	9	0	1.875	9.70783254e-05	0.000127519717	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
76	9	0	1.9	0.000116471719	0.000127212395	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
77	9	0	1.925	9.40379691e-05	0.000124633042	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
78	9	0	1.95	0.000114923512	0.000122111458	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
79	9	0	1.975	9.68826667e-05	0.000118264573	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
80	9	0	2	0.000111767418	0.000114998546	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
81	9	0	2.025	9.49409109e-05	0.000111358983	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
82	9	0	2.05	0.00010892203	0.000108387073	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
83	9	0	2.075	8.79726262e-05	0.000105597724	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
84	9	0	2.1	0.000100885856	0.000102723284	-2.73229052e-05	0.000192112257	0.000219435162	0.00155528869	0	100	0	0	3
85	10	0	2.125	8.54370528e-05	9.88282781e-05	-2.73229052e-05	0.000192112257	0.000135352707	0.00155528869	0	100	0	0	3
86	10	0	2.15	8.639416e-05	9.3794083e-05	-2.73229052e-05	0.000144351308	0.00010626047	0.00155528869	0	100	0	0	3
87	10	0	2.175	8.16903359e-05	9.49818062e-05	-2.73229052e-05	0.000144351308	7.25397711e-05	0.00155528869	0	100	0	0	3
88	10	0	2.2	7.50214667e-05	9.16803851e-05	-2.73229052e-05	0.000134312232	5.2411267e-05	0.00155528869	0	100	0	0	3
89	10	0	2.225	6.17862107e-05	9.4068512e-05	-2.73229052e-05	0.000134312232	3.69429722e-05	0.00155528869	0	100	0	0	3
90	10	0	2.25	6.28640892e-05	9.17704995e-05	-2.73229052e-05	0.000134312232	3.69429722e-05	0.00155528869	0	100	0	0	3
91	10	0	2.275	5.85269005e-05	8.86366542e-05	-2.73229052e-05	0.000134312232	3.99867031e-05	0.00155528869	0	100	0	0	3
92	10	0	2.3	5.22125599e-05	8.4727146e-05	-2.73229052e-05	0.000116471719	4.38962113e-05	0.00155528869	0	100	0	0	3
93	10	0	2.325	6.04705435e-05	8.89077864e-05	5.22125599e-05	0.000116471719	4.38962113e-05	0.00155528869	0	100	0	0	3
94	10	0	2.35	4.97307422e-05	8.63720174e-05	4.97307422e-05	0.000116471719	4.38962113e-05	0.00155528869	0	100	0	0	3
95	11	0	2.375	5.50792626e-05	8.34807789e-05	4.97307422e-05	0.000116471719	4.40389377e-05	0.00155528869	0	100	0	0	3
96	11	0	2.4	5.19615326e-05	8.13323602e-05	4.97307422e-05	0.000116471719	4.58800344e-05	0.00155528869	0	100	0	0	3
97	11	0	2.425	4.81725009e-05	7.80800165e-05	4.81725009e-05	0.000114923512	4.6553025e-05	0.00155528869	0	100	0	0	3
98	11	0	2.45	4.15112619e-05	7.55787447e-05	4.15112619e-05	0.000114923512	4.65327129e-05	0.00155528869	0	100	0	0	3
99	11	0	2.475	4.72946116e-05	7.23583209e-05	4.15112619e-05	0.000111767418	4.59062521e-05	0.00155528869	0	100	0	0	3
100	11	0	2.5	5.15265394e-05	7.01985053e-05	4.15112619e-05	0.000111767418	4.48000408e-05	0.00155528869	0	100	0	0	3
101	11	0	2.525	4.01987821e-05	6.6790475e-05	4.01987821e-05	0.00010892203	4.45685081e-05	0.00155528869	0	100	0	0	3
102	11	0	2.55	5.03895106e-05	6.46689798e-05	4.01987821e-05	0.00010892203	4.37180928e-05	0.00155528869	0	100	0	0	3
103	12	0	2.575	4.43343752e-05	6.15933772e-05	4.01987821e-05	0.000100885856	4.40043473e-05	0.00155528869	0	100	0	0	3
104	12	0	2.6	4.57564237e-05	5.95830818e-05	4.01987821e-05	0.000100885856	4.31402026e-05	0.00155528869	0	100	0	0	3
105	12	0	2.625	4.27611375e-05	5.68152381e-05	4.01987821e-05	8.639416e-05	4.20130401e-05	0.00155528869	0	100	0	0	3
106	12	0	2.65	4.32908862e-05	5.48082778e-05	4.01987821e-05	8.639416e-05	4.01735284e-05	0.00155528869	0	100	0	0	3
107	12	0	2.675	4.26688441e-05	5.27261199e-05	4.01987821e-05	8.16903359e-05	4.14915538e-05	0.00155528869	0	100	0	0	3
108	12	0	2.7	4.50385757e-05	5.09807979e-05	4.01987821e-05	7.50214667e-05	3.48226846e-05	0.00155528869	0	100	0	0	3
109	12	0	2.725	2.67609071e-05	4.8682676e-05	2.67609071e-05	6.28640892e-05	3.61031821e-05	0.00155528869	0	100	0	0	3
110	12	0	2.75	4.89272119e-05	4.80703428e-05	2.67609071e-05	6.28640892e-05	3.61031821e-05	0.00155528869	0	100	0	0	3
111	12	0	2.775	5.8572733e-05	4.78659925e-05	2.67609071e-05	6.04705435e-05	3.37096364e-05	0.00155528869	0	100	0	0	3
112	12	0	2.8	1.79081265e-05	4.59317651e-05	1.79081265e-05	6.04705435e-05	4.2562417e-05	0.00155528869	0	100	0	0	3
113	13	0	2.825	3.22363014e-05	4.49805147e-05	1.79081265e-05	6.04705435e-05	4.2562417e-05	0.00155528869	0	100	0	0	3
114	13	0	2.85	4.30663546e-05	4.41517438e-05	1.79081265e-05	5.8572733e-05	4.06646065e-05	0.00155528869	0	100	0	0	3
115	13	0	2.875	-9.4691931e-06	4.13326993e-05	-9.4691931e-06	5.8572733e-05	4.21480796e-05	0.00155528869	0	100	0	0	3
116	13	0	2.9	2.86243927e-05	4.00729436e-05	-9.4691931e-06	5.8572733e-05	4.12594166e-05	0.00155528869	0	100	0	0	3
117	13	0	2.925	3.6836988e-05	3.93527272e-05	-9.4691931e-06	5.8572733e-05	3.87272893e-05	0.00155528869	0	100	0	0	3
118	13	0	2.95	3.01384406e-06	3.72023149e-05	-9.4691931e-06	5.8572733e-05	3.83764298e-05	0.00155528869	0	100	0	0	3
119	13	0	2.975	2.87817807e-05	3.65961492e-05	-9.4691931e-06	5.8572733e-05	3.57621717e-05	0.00155528869	0	100	0	0	3
120	13	0	3	3.39682782e-05	3.59615619e-05	-9.4691931e-06	5.8572733e-05	3.42369435e-05	0.00155528869	0	100	0	0	3
121	13	0	3.025	-3.94058538e-06	3.33202702e-05	-9.4691931e-06	5.8572733e-05	3.34702048e-05	0.00155528869	0	100	0	0	3
122	14	0	3.05	1.85223427e-05	3.22880588e-05	-9.4691931e-06	5.8572733e-05	3.2380921e-05	0.00155528869	0	100	0	0	3
123	14	0	3.075	3.81258596e-05	3.17040754e-05	-9.4691931e-06	5.8572733e-05	2.98893017e-05	0.00155528869	0	100	0	0	3
124	14	0	3.1	-4.50110194e-06	2.93785765e-05	-9.4691931e-06	5.8572733e-05	3.02045053e-05	0.00155528869	0	100	0	0	3
125	14	0	3.125	2.26289145e-05	2.82772666e-05	-9.4691931e-06	5.8572733e-05	2.85379715e-05	0.00155528869	0	100	0	0	3
126	14	0	3.15	3.4231254e-05	2.78710816e-05	-9.4691931e-06	5.8572733e-05	2.69371961e-05	0.00155528869	0	100	0	0	3
127	14	0	3.175	-0.000146554353	1.88308321e-05	-0.000146554353	5.8572733e-05	3.38952877e-05	0.00155528869	0	100	0	0	3
128	14	0	3.2	7.60130136e-05	2.04186497e-05	-0.000146554353	7.60130136e-05	3.21499658e-05	0.00155528869	0	100	0	0	3
129	14	0	3.225	-0.000211766552	8.18983411e-06	-0.000211766552	7.60130136e-05	4.04928419e-05	0.00155528869	0	100	0	0	3
130	14	0	3.25	0.000409801791	2.64298762e-05	-0.000211766552	0.000409801791	3.98805087e-05	0.00155528869	0	100	0	0	3
131	15	0	3.275	0.000980427531	7.07870343e-05	-0.000211766552	0.000980427531	6.25972002e-05	0.00155528869	0	100	0	0	3
132	15	0	3.3	0.000639850442	9.84669252e-05	-0.000211766552	0.000980427531	9.02770911e-05	0.00155528869	0	100	0	0	3
133	15	0	3.325	0.000412645999	0.000117263967	-0.000211766552	0.000980427531	0.000109074133	0.00155528869	0	100	0	0	3
134	15	0	3.35	-2.68091776e-05	0.000114452277	-0.000211766552	0.000980427531	0.000109074133	0.00155528869	0	100	0	0	3
135	15	0	3.375	-0.000441233113	9.13903979e-05	-0.000441233113	0.000980427531	0.000109074133	0.00155528869	0	100	0	0	3
136	15	0	3.4	-0.00060756983	6.29094152e-05	-0.00060756983	0.000980427531	0.000109074133	0.00155528869	0	100	0	0	3
137	15	0	3.425	-0.000642176261	3.09665269e-05	-0.000642176261	0.000980427531	0.000109074133	0.00155528869	0	100	0	0	3
138	15	0	3.45	-0.000527912505	4.07369389e-06	-0.000642176261	0.000980427531	0.000113190273	0.00155528869	0	100	0	0	3
139	15	0	3.475	-0.000432620326	-1.66707904e-05	-0.000642176261	0.000980427531	0.000133934757	0.00155528869	0	100	0	0	3
140	16	0	3.5	-0.000211399511	-2.81079948e-05	-0.000642176261	0.000980427531	0.000145371962	0.00155528869	0	100	0	0	3
141	16	0	3.525	-0.000163612782	-3.75166167e-05	-0.000642176261	0.000980427531	0.000154780583	0.00155528869	0	100	0	0	3
142	16	0	3.55	-5.17841459e-05	-3.97948815e-05	-0.000642176261	0.000980427531	0.000157058848	0.00155528869	0	100	0	0	3
143	16	0	3.575	5.3707577e-06	-4.04211474e-05	-0.000642176261	0.000980427531	0.000157685114	0.00155528869	0	100	0	0	3
144	16	0	3.6	3.74434028e-05	-4.04536454e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
145	16	0	3.625	1.90284676e-05	-3.93331897e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
146	16	0	3.65	8.78708202e-05	-3.62264323e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
147	16	0	3.675	7.0577649e-05	-3.44956516e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
148	16	0	3.7	6.91219477e-05	-2.42253515e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
149	17	0	3.725	4.46047592e-05	-2.57209827e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
150	17	0	3.75	3.85670959e-05	-1.38003328e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
151	17	0	3.775	1.50522645e-05	-3.25979293e-05	-0.000642176261	0.000980427531	0.000157717612	0.00155528869	0	100	0	0	3
152	17	0	3.8	-1.57443725e-05	-8.00346866e-05	-0.000642176261	0.000639850442	0.000197298653	0.00155528869	0	100	0	0	3
153	17	0	3.825	-3.78675578e-05	-0.000112306972	-0.000642176261	0.000412645999	0.000229570939	0.00155528869	0	100	0	0	3
154	17	0	3.85	-7.38961263e-05	-0.000135475645	-0.000642176261	8.78708202e-05	0.000249927922	0.00155528869	0	100	0	0	3
155	17	0	3.875	-7.84906564e-05	-0.000137936668	-0.000642176261	8.78708202e-05	0.000229327066	0.00155528869	0	100	0	0	3
156	17	0	3.9	-8.14636122e-05	-0.000120804787	-0.000642176261	8.78708202e-05	0.000200846083	0.00155528869	0	100	0	0	3
157	17	0	3.925	-4.2044448e-05	-9.38750067e-05	-0.000642176261	8.78708202e-05	0.000168903195	0.00155528869	0	100	0	0	3
158	18	0	3.95	-3.80873946e-05	-6.51088702e-05	-0.000527912505	8.78708202e-05	0.000142010362	0.00155528869	0	100	0	0	3
159	18	0	3.975	-3.2288938e-05	-4.15077479e-05	-0.000432620326	8.78708202e-05	0.000124136335	0.00155528869	0	100	0	0	3
160	18	0	4	-3.67263604e-05	-2.26556543e-05	-0.000211399511	8.78708202e-05	0.000124136335	0.00155528869	0	100	0	0	3
